"is_agent_on(get_nearest(""goal""))","check(front_pos, ""empty"")","check(front_pos, ""wall"")","is_present(""goal"")","is_agent_facing(get_nearest(""goal""))","is_at_agents_left(get_nearest(""goal""))","is_at_agents_right(get_nearest(""goal""))","check(front_pos, ""goal"")","is_present(""door"")","is_agent_facing(get_nearest(""door""))","is_at_agents_left(get_nearest(""door""))","is_at_agents_right(get_nearest(""door""))","check(front_pos, ""door"")","is_present(""key"", ""red"")","is_agent_facing(get_nearest(""key"", ""red""))","is_at_agents_left(get_nearest(""key"", ""red""))","is_at_agents_right(get_nearest(""key"", ""red""))","check(front_pos, ""key"", ""red"")","is_present(""key"", ""green"")","is_agent_facing(get_nearest(""key"", ""green""))","is_at_agents_left(get_nearest(""key"", ""green""))","is_at_agents_right(get_nearest(""key"", ""green""))","check(front_pos, ""key"", ""green"")",action
False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,left
False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,right
False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,left
False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,True,pageup
False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,True,False,True,False,False,up
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,left
False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False, 
False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,up
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,up
False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,right
False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,up
False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,True,True,True,False,False,up
False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,up
False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,up
False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,up
False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,up
False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False,False,pageup
False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,up
False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,left
False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,pageup
False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,True,True,False,False,up
False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,True,False,False,right
False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,up
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,pageup
False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,left
False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,right
